Data:
load('F:\oytun_Calisma\data\Traindatatwoclass_features_02_12_2021_newspectrogramsparfor');

13 x 4225 lik bir data var.

170 data 

56 fast - 114 slow

trainRatio=0.8;
valRatio=0.1;
testRatio=0.1;

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      15 |          58 |       00:00:20 |       56.25% |       76.47% |       0.5851 |       0.4613 |          0.0100 |
|      15 |          59 |       00:00:20 |       78.13% |       76.47% |       0.4669 |       0.4586 |          0.0100 |
|      15 |          60 |       00:00:20 |       62.50% |       76.47% |       0.5899 |       0.4581 |          0.0100 |
|      16 |          61 |       00:00:20 |       78.13% |       76.47% |       0.3850 |       0.4638 |          0.0100 |
|      16 |          62 |       00:00:21 |       68.75% |       76.47% |       0.4644 |       0.4742 |          0.0100 |
|      16 |          63 |       00:00:21 |       68.75% |       76.47% |       0.4193 |       0.4810 |          0.0100 |
|      16 |          64 |       00:00:21 |       81.25% |       76.47% |       0.4304 |       0.4864 |          0.0100 |
|      17 |          65 |       00:00:21 |       68.75% |       76.47% |       0.4204 |       0.4931 |          0.0100 |
|      17 |          66 |       00:00:22 |       59.38% |       76.47% |       0.6402 |       0.5034 |          0.0100 |
|      17 |          67 |       00:00:22 |       84.38% |       76.47% |       0.4046 |       0.5128 |          0.0100 |
|      17 |          68 |       00:00:22 |       71.88% |       76.47% |       0.4863 |       0.4946 |          0.0100 |
|      18 |          69 |       00:00:23 |       78.13% |       76.47% |       0.3416 |       0.4779 |          0.0100 |
|      18 |          70 |       00:00:23 |       68.75% |       76.47% |       0.5092 |       0.4547 |          0.0100 |
|      18 |          71 |       00:00:23 |       81.25% |       76.47% |       0.3795 |       0.4392 |          0.0100 |
|      18 |          72 |       00:00:23 |       65.63% |       76.47% |       0.4213 |       0.4231 |          0.0100 |
|      19 |          73 |       00:00:24 |       81.25% |       76.47% |       0.3487 |       0.4124 |          0.0100 |
|      19 |          74 |       00:00:24 |       71.88% |       76.47% |       0.4562 |       0.4078 |          0.0100 |
|      19 |          75 |       00:00:24 |       84.38% |       76.47% |       0.3972 |       0.4130 |          0.0100 |
|      19 |          76 |       00:00:25 |       81.25% |       76.47% |       0.4332 |       0.4230 |          0.0100 |
|      20 |          77 |       00:00:25 |       78.13% |       76.47% |       0.3884 |       0.4377 |          0.0100 |
|      20 |          78 |       00:00:25 |       71.88% |       76.47% |       0.5382 |       0.4612 |          0.0100 |
|      20 |          79 |       00:00:25 |       81.25% |       76.47% |       0.3624 |       0.4918 |          0.0100 |
|      20 |          80 |       00:00:26 |       68.75% |       76.47% |       0.4055 |       0.5123 |          0.0100 |
|      21 |          81 |       00:00:26 |       65.63% |       76.47% |       0.3791 |       0.5224 |          0.0100 |
|      21 |          82 |       00:00:26 |       68.75% |       76.47% |       0.5517 |       0.5359 |          0.0100 |
|      21 |          83 |       00:00:26 |       90.63% |       76.47% |       0.3299 |       0.5435 |          0.0100 |
|      21 |          84 |       00:00:27 |       68.75% |       76.47% |       0.4329 |       0.5367 |          0.0100 |
|      22 |          85 |       00:00:27 |       75.00% |       76.47% |       0.3451 |       0.5322 |          0.0100 |
|      22 |          86 |       00:00:27 |       65.63% |       76.47% |       0.5292 |       0.5319 |          0.0100 |
|      22 |          87 |       00:00:28 |       78.13% |       70.59% |       0.4403 |       0.5370 |          0.0100 |
|      22 |          88 |       00:00:28 |       68.75% |       70.59% |       0.6108 |       0.5361 |          0.0100 |
|      23 |          89 |       00:00:28 |       71.88% |       70.59% |       0.3757 |       0.5240 |          0.0100 |
|      23 |          90 |       00:00:28 |       75.00% |       64.71% |       0.5073 |       0.5044 |          0.0100 |
|      23 |          91 |       00:00:29 |       96.88% |       70.59% |       0.2295 |       0.4840 |          0.0100 |
|      23 |          92 |       00:00:29 |       68.75% |       70.59% |       0.5485 |       0.4649 |          0.0100 |
|      24 |          93 |       00:00:29 |       68.75% |       70.59% |       0.3627 |       0.4491 |          0.0100 |
|      24 |          94 |       00:00:30 |       62.50% |       70.59% |       0.4794 |       0.4637 |          0.0100 |
|      24 |          95 |       00:00:30 |       87.50% |       64.71% |       0.3218 |       0.4921 |          0.0100 |
|      24 |          96 |       00:00:30 |       78.13% |       70.59% |       0.4224 |       0.5175 |          0.0100 |
|      25 |          97 |       00:00:30 |       87.50% |       70.59% |       0.2930 |       0.5319 |          0.0100 |
|      25 |          98 |       00:00:31 |       68.75% |       70.59% |       0.4713 |       0.5232 |          0.0100 |
|      25 |          99 |       00:00:31 |       90.63% |       76.47% |       0.2875 |       0.5106 |          0.0100 |
|      25 |         100 |       00:00:31 |       71.88% |       76.47% |       0.5093 |       0.4950 |          0.0100 |
|      26 |         101 |       00:00:31 |       78.13% |       76.47% |       0.3225 |       0.4813 |          0.0100 |
|      26 |         102 |       00:00:32 |       68.75% |       76.47% |       0.4375 |       0.4839 |          0.0100 |
|      26 |         103 |       00:00:32 |       75.00% |       76.47% |       0.3583 |       0.4986 |          0.0100 |
|      26 |         104 |       00:00:32 |       78.13% |       76.47% |       0.3375 |       0.5227 |          0.0100 |
|      27 |         105 |       00:00:33 |       81.25% |       70.59% |       0.3258 |       0.5727 |          0.0100 |
|      27 |         106 |       00:00:33 |       68.75% |       70.59% |       0.4395 |       0.5928 |          0.0100 |
|      27 |         107 |       00:00:33 |       81.25% |       70.59% |       0.3062 |       0.5974 |          0.0100 |
|      27 |         108 |       00:00:33 |       78.13% |       70.59% |       0.3908 |       0.5832 |          0.0100 |
|      28 |         109 |       00:00:34 |       81.25% |       70.59% |       0.2768 |       0.5305 |          0.0100 |
|      28 |         110 |       00:00:34 |       65.63% |       76.47% |       0.5064 |       0.5368 |          0.0100 |
|      28 |         111 |       00:00:34 |       81.25% |       76.47% |       0.4221 |       0.5522 |          0.0100 |
|      28 |         112 |       00:00:35 |       71.88% |       76.47% |       0.4118 |       0.5234 |          0.0100 |
|      29 |         113 |       00:00:35 |       87.50% |       76.47% |       0.2291 |       0.4738 |          0.0100 |
|      29 |         114 |       00:00:35 |       65.63% |       76.47% |       0.4666 |       0.4105 |          0.0100 |
|      29 |         115 |       00:00:35 |       90.63% |       76.47% |       0.2531 |       0.3782 |          0.0100 |
|      29 |         116 |       00:00:36 |       84.38% |       76.47% |       0.3146 |       0.3586 |          0.0100 |
|      30 |         117 |       00:00:36 |       81.25% |       76.47% |       0.2467 |       0.3495 |          0.0100 |
|      30 |         118 |       00:00:36 |       68.75% |       76.47% |       0.4442 |       0.4616 |          0.0100 |
|      30 |         119 |       00:00:37 |       81.25% |       76.47% |       0.3228 |       0.5797 |          0.0100 |
|      30 |         120 |       00:00:37 |       84.38% |       76.47% |       0.3098 |       0.6221 |          0.0100 |
|      31 |         121 |       00:00:37 |       81.25% |       70.59% |       0.2656 |       0.6513 |          0.0100 |
|      31 |         122 |       00:00:37 |       75.00% |       70.59% |       0.4446 |       0.6475 |          0.0100 |
|      31 |         123 |       00:00:38 |       81.25% |       70.59% |       0.2957 |       0.5775 |          0.0100 |
|      31 |         124 |       00:00:38 |       71.88% |       70.59% |       0.4214 |       0.4975 |          0.0100 |
|      32 |         125 |       00:00:38 |       59.38% |       70.59% |       0.3446 |       0.4333 |          0.0100 |
|      32 |         126 |       00:00:39 |       84.38% |       70.59% |       0.3480 |       0.4498 |          0.0100 |
|      32 |         127 |       00:00:39 |       78.13% |       82.35% |       0.2393 |       0.4555 |          0.0100 |
|      32 |         128 |       00:00:39 |       84.38% |       76.47% |       0.3210 |       0.4676 |          0.0100 |
|      33 |         129 |       00:00:39 |       87.50% |       76.47% |       0.2462 |       0.5010 |          0.0100 |
|      33 |         130 |       00:00:40 |       75.00% |       76.47% |       0.3859 |       0.5118 |          0.0100 |
|      33 |         131 |       00:00:40 |       84.38% |       76.47% |       0.3675 |       0.5200 |          0.0100 |
|      33 |         132 |       00:00:40 |       68.75% |       76.47% |       0.3977 |       0.5326 |          0.0100 |
|      34 |         133 |       00:00:41 |       75.00% |       76.47% |       0.2511 |       0.5498 |          0.0100 |
|      34 |         134 |       00:00:41 |       87.50% |       76.47% |       0.2797 |       0.5074 |          0.0100 |
|      34 |         135 |       00:00:41 |       84.38% |       76.47% |       0.3012 |       0.4698 |          0.0100 |
|      34 |         136 |       00:00:41 |       75.00% |       76.47% |       0.3590 |       0.4571 |          0.0100 |
|      35 |         137 |       00:00:42 |       65.63% |       76.47% |       0.2948 |       0.4509 |          0.0100 |
|      35 |         138 |       00:00:42 |       93.75% |       76.47% |       0.1868 |       0.4496 |          0.0100 |
|      35 |         139 |       00:00:42 |       93.75% |       76.47% |       0.2378 |       0.4495 |          0.0100 |
|      35 |         140 |       00:00:43 |       78.13% |       76.47% |       0.3247 |       0.4540 |          0.0100 |
|      36 |         141 |       00:00:43 |       81.25% |       76.47% |       0.2737 |       0.4657 |          0.0100 |
|      36 |         142 |       00:00:43 |       62.50% |       76.47% |       0.4221 |       0.4774 |          0.0100 |
|      36 |         143 |       00:00:43 |       90.63% |       76.47% |       0.2551 |       0.4812 |          0.0100 |
|      36 |         144 |       00:00:44 |       75.00% |       76.47% |       0.2964 |       0.4843 |          0.0100 |
|      37 |         145 |       00:00:44 |       71.88% |       76.47% |       0.3364 |       0.4938 |          0.0100 |
|      37 |         146 |       00:00:44 |       62.50% |       76.47% |       0.5125 |       0.4939 |          0.0100 |
|      37 |         147 |       00:00:45 |       81.25% |       76.47% |       0.2998 |       0.4981 |          0.0100 |
|      37 |         148 |       00:00:45 |       78.13% |       76.47% |       0.2938 |       0.5008 |          0.0100 |
|      38 |         149 |       00:00:45 |       65.63% |       76.47% |       0.3493 |       0.5135 |          0.0100 |
|      38 |         150 |       00:00:45 |       81.25% |       76.47% |       0.3271 |       0.5168 |          0.0100 |
|      38 |         151 |       00:00:46 |       75.00% |       76.47% |       0.2817 |       0.5079 |          0.0100 |
|      38 |         152 |       00:00:46 |       78.13% |       76.47% |       0.2863 |       0.5080 |          0.0100 |
|      39 |         153 |       00:00:46 |       71.88% |       76.47% |       0.2855 |       0.5047 |          0.0100 |
|      39 |         154 |       00:00:47 |       81.25% |       76.47% |       0.3263 |       0.4861 |          0.0100 |
|      39 |         155 |       00:00:47 |       93.75% |       76.47% |       0.1967 |       0.4853 |          0.0100 |
|      39 |         156 |       00:00:47 |       93.75% |       76.47% |       0.2172 |       0.4149 |          0.0100 |
|      40 |         157 |       00:00:47 |       78.13% |       88.24% |       0.2358 |       0.3819 |          0.0100 |
|      40 |         158 |       00:00:48 |       71.88% |       88.24% |       0.4892 |       0.3817 |          0.0100 |
|      40 |         159 |       00:00:48 |       81.25% |       82.35% |       0.2328 |       0.4968 |          0.0100 |
|      40 |         160 |       00:00:48 |       81.25% |       82.35% |       0.2186 |       0.5657 |          0.0100 |
|      41 |         161 |       00:00:49 |       75.00% |       82.35% |       0.2461 |       0.5971 |          0.0100 |
|      41 |         162 |       00:00:49 |       75.00% |       82.35% |       0.3829 |       0.6665 |          0.0100 |
|      41 |         163 |       00:00:49 |       75.00% |       76.47% |       0.2619 |       0.7275 |          0.0100 |
|      41 |         164 |       00:00:49 |       81.25% |       70.59% |       0.2612 |       0.7749 |          0.0100 |
|      42 |         165 |       00:00:50 |       81.25% |       70.59% |       0.2104 |       0.8183 |          0.0100 |
|      42 |         166 |       00:00:50 |       81.25% |       70.59% |       0.3617 |       0.7984 |          0.0100 |
|      42 |         167 |       00:00:50 |       96.88% |       70.59% |       0.1298 |       0.7709 |          0.0100 |
|      42 |         168 |       00:00:51 |       87.50% |       70.59% |       0.2537 |       0.7468 |          0.0100 |
|      43 |         169 |       00:00:51 |       65.63% |       70.59% |       0.2884 |       0.7350 |          0.0100 |
|      43 |         170 |       00:00:51 |       65.63% |       70.59% |       0.6640 |       0.6697 |          0.0100 |
|      43 |         171 |       00:00:51 |       71.88% |       70.59% |       0.6176 |       0.6406 |          0.0100 |
|      43 |         172 |       00:00:52 |       93.75% |       70.59% |       0.2236 |       0.6250 |          0.0100 |
|      44 |         173 |       00:00:52 |       90.63% |       70.59% |       0.1631 |       0.6035 |          0.0100 |
|      44 |         174 |       00:00:52 |       71.88% |       70.59% |       0.3436 |       0.6141 |          0.0100 |
|      44 |         175 |       00:00:53 |       81.25% |       70.59% |       0.2326 |       0.5991 |          0.0100 |
|      44 |         176 |       00:00:53 |       78.13% |       70.59% |       0.2537 |       0.6001 |          0.0100 |
