Data:
load('F:\oytun_Calisma\data\Traindatatwoclass_features_02_12_2021_newspectrogramsparfor');

13 x 4225 lik bir data var.

170 data 

56 fast - 114 slow

trainRatio=0.8;
valRatio=0.1;
testRatio=0.1;

|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      15 |          58 |       00:00:21 |       84.38% |       76.47% |       0.3199 |       0.4587 |          0.0100 |
|      15 |          59 |       00:00:21 |       90.63% |       82.35% |       0.3220 |       0.4906 |          0.0100 |
|      15 |          60 |       00:00:22 |       90.63% |       76.47% |       0.3258 |       0.4884 |          0.0100 |
|      16 |          61 |       00:00:22 |       96.88% |       76.47% |       0.1742 |       0.4520 |          0.0100 |
|      16 |          62 |       00:00:22 |       84.38% |       76.47% |       0.3047 |       0.3929 |          0.0100 |
|      16 |          63 |       00:00:23 |       93.75% |       76.47% |       0.2843 |       0.4068 |          0.0100 |
|      16 |          64 |       00:00:23 |       84.38% |       76.47% |       0.3712 |       0.4370 |          0.0100 |
|      17 |          65 |       00:00:23 |       96.88% |       76.47% |       0.1422 |       0.4832 |          0.0100 |
|      17 |          66 |       00:00:23 |       84.38% |       70.59% |       0.2901 |       0.5279 |          0.0100 |
|      17 |          67 |       00:00:24 |       90.63% |       70.59% |       0.2679 |       0.5313 |          0.0100 |
|      17 |          68 |       00:00:24 |       84.38% |       70.59% |       0.3324 |       0.5348 |          0.0100 |
|      18 |          69 |       00:00:24 |       96.88% |       70.59% |       0.1392 |       0.5384 |          0.0100 |
|      18 |          70 |       00:00:25 |       81.25% |       70.59% |       0.2696 |       0.5526 |          0.0100 |
|      18 |          71 |       00:00:25 |       93.75% |       70.59% |       0.2526 |       0.5952 |          0.0100 |
|      18 |          72 |       00:00:25 |       90.63% |       76.47% |       0.2779 |       0.5999 |          0.0100 |
|      19 |          73 |       00:00:26 |       96.88% |       76.47% |       0.1174 |       0.6026 |          0.0100 |
|      19 |          74 |       00:00:26 |       87.50% |       76.47% |       0.2740 |       0.6198 |          0.0100 |
|      19 |          75 |       00:00:26 |       90.63% |       76.47% |       0.2593 |       0.6297 |          0.0100 |
|      19 |          76 |       00:00:26 |       96.88% |       76.47% |       0.2189 |       0.6523 |          0.0100 |
|      20 |          77 |       00:00:27 |      100.00% |       76.47% |       0.1116 |       0.6504 |          0.0100 |
|      20 |          78 |       00:00:27 |       87.50% |       70.59% |       0.2658 |       0.6471 |          0.0100 |
|      20 |          79 |       00:00:27 |       90.63% |       70.59% |       0.2254 |       0.6246 |          0.0100 |
|      20 |          80 |       00:00:28 |       96.88% |       70.59% |       0.1973 |       0.6215 |          0.0100 |
|      21 |          81 |       00:00:28 |      100.00% |       70.59% |       0.0816 |       0.6406 |          0.0100 |
|      21 |          82 |       00:00:28 |       87.50% |       76.47% |       0.1935 |       0.5994 |          0.0100 |
|      21 |          83 |       00:00:28 |       90.63% |       76.47% |       0.2243 |       0.5563 |          0.0100 |
|      21 |          84 |       00:00:29 |       96.88% |       76.47% |       0.1948 |       0.5627 |          0.0100 |
|      22 |          85 |       00:00:29 |      100.00% |       76.47% |       0.0623 |       0.5812 |          0.0100 |
|      22 |          86 |       00:00:29 |       93.75% |       70.59% |       0.2566 |       0.6582 |          0.0100 |
|      22 |          87 |       00:00:30 |       93.75% |       64.71% |       0.1780 |       0.7679 |          0.0100 |
|      22 |          88 |       00:00:30 |       96.88% |       64.71% |       0.1790 |       0.7812 |          0.0100 |
|      23 |          89 |       00:00:30 |      100.00% |       64.71% |       0.0562 |       0.7704 |          0.0100 |
|      23 |          90 |       00:00:31 |       93.75% |       64.71% |       0.1547 |       0.7301 |          0.0100 |
|      23 |          91 |       00:00:31 |       93.75% |       64.71% |       0.1616 |       0.6708 |          0.0100 |
|      23 |          92 |       00:00:31 |       96.88% |       64.71% |       0.1414 |       0.6130 |          0.0100 |
|      24 |          93 |       00:00:31 |       96.88% |       64.71% |       0.1258 |       0.7090 |          0.0100 |
|      24 |          94 |       00:00:32 |       96.88% |       64.71% |       0.1153 |       0.7272 |          0.0100 |
|      24 |          95 |       00:00:32 |       93.75% |       64.71% |       0.1480 |       0.7651 |          0.0100 |
|      24 |          96 |       00:00:32 |       96.88% |       64.71% |       0.1123 |       0.7957 |          0.0100 |
|      25 |          97 |       00:00:33 |      100.00% |       70.59% |       0.0461 |       0.8151 |          0.0100 |
|      25 |          98 |       00:00:33 |       90.63% |       64.71% |       0.2741 |       0.7874 |          0.0100 |
|      25 |          99 |       00:00:33 |       96.88% |       76.47% |       0.1247 |       0.5603 |          0.0100 |
|      25 |         100 |       00:00:34 |       96.88% |       82.35% |       0.0909 |       0.4110 |          0.0100 |
|      26 |         101 |       00:00:34 |       96.88% |       82.35% |       0.0628 |       0.3917 |          0.0100 |
|      26 |         102 |       00:00:34 |       93.75% |       82.35% |       0.1679 |       0.3891 |          0.0100 |
|      26 |         103 |       00:00:34 |       96.88% |       82.35% |       0.1086 |       0.3863 |          0.0100 |
|      26 |         104 |       00:00:35 |       96.88% |       82.35% |       0.0862 |       0.3878 |          0.0100 |
|      27 |         105 |       00:00:35 |       96.88% |       76.47% |       0.0820 |       0.4096 |          0.0100 |
|      27 |         106 |       00:00:35 |       96.88% |       76.47% |       0.1073 |       0.4490 |          0.0100 |
|      27 |         107 |       00:00:36 |       96.88% |       70.59% |       0.0936 |       0.5073 |          0.0100 |
|      27 |         108 |       00:00:36 |       96.88% |       76.47% |       0.0778 |       0.6019 |          0.0100 |
|      28 |         109 |       00:00:36 |      100.00% |       76.47% |       0.0343 |       0.6413 |          0.0100 |
|      28 |         110 |       00:00:37 |       96.88% |       70.59% |       0.0657 |       0.8941 |          0.0100 |
|      28 |         111 |       00:00:37 |       96.88% |       70.59% |       0.0852 |       0.8407 |          0.0100 |
|      28 |         112 |       00:00:37 |       96.88% |       70.59% |       0.1265 |       0.8104 |          0.0100 |
|      29 |         113 |       00:00:37 |      100.00% |       70.59% |       0.0360 |       0.7857 |          0.0100 |
|      29 |         114 |       00:00:38 |      100.00% |       70.59% |       0.0773 |       0.7913 |          0.0100 |
